List of packages in environment: "/opt/conda"

  Name                               Version       Build                    Channel    
─────────────────────────────────────────────────────────────────────────────────────────
  _libgcc_mutex                      0.1           conda_forge              conda-forge
  _openmp_mutex                      4.5           2_gnu                    conda-forge
  _r-mutex                           1.0.1         anacondar_1              conda-forge
  _r-xgboost-mutex                   2.0           cpu_0                    conda-forge
  aiohttp                            3.8.5         py310h2372a71_0          conda-forge
  aiosignal                          1.3.1         pyhd8ed1ab_0             conda-forge
  alsa-lib                           1.2.9         hd590300_0               conda-forge
  anndata                            0.9.2         pyhd8ed1ab_0             conda-forge
  anndata2ri                         1.3.1         pyhdfd78af_0             bioconda   
  annotated-types                    0.5.0         pyhd8ed1ab_0             conda-forge
  anyio                              4.0.0         pyhd8ed1ab_0             conda-forge
  aom                                3.5.0         h27087fc_0               conda-forge
  argcomplete                        3.1.1         pyhd8ed1ab_0             conda-forge
  argon2-cffi                        23.1.0        pyhd8ed1ab_0             conda-forge
  argon2-cffi-bindings               21.2.0        py310h5764c6d_3          conda-forge
  arpack                             3.7.0         hdefa2d7_2               conda-forge
  arrow                              1.2.3         pyhd8ed1ab_0             conda-forge
  asciitree                          0.3.3         py_2                     conda-forge
  asttokens                          2.4.0         pyhd8ed1ab_0             conda-forge
  async-lru                          2.0.4         pyhd8ed1ab_0             conda-forge
  async-timeout                      4.0.3         pyhd8ed1ab_0             conda-forge
  atk-1.0                            2.38.0        hd4edc92_1               conda-forge
  attr                               2.5.1         h166bdaf_1               conda-forge
  attrs                              23.1.0        pyh71513ae_1             conda-forge
  aws-c-auth                         0.7.3         he2921ad_3               conda-forge
  aws-c-cal                          0.6.2         hc309b26_0               conda-forge
  aws-c-common                       0.9.0         hd590300_0               conda-forge
  aws-c-compression                  0.2.17        h4d4d85c_2               conda-forge
  aws-c-event-stream                 0.3.2         h2e3709c_0               conda-forge
  aws-c-http                         0.7.12        hc865f51_1               conda-forge
  aws-c-io                           0.13.32       h019f825_2               conda-forge
  aws-c-mqtt                         0.9.5         h3a0376c_1               conda-forge
  aws-c-s3                           0.3.14        h1678ad6_3               conda-forge
  aws-c-sdkutils                     0.1.12        h4d4d85c_1               conda-forge
  aws-checksums                      0.1.17        h4d4d85c_1               conda-forge
  aws-crt-cpp                        0.23.1        h40cdbb9_0               conda-forge
  aws-sdk-cpp                        1.11.156      h8bde0db_1               conda-forge
  babel                              2.12.1        pyhd8ed1ab_1             conda-forge
  backcall                           0.2.0         pyh9f0ad1d_0             conda-forge
  backports                          1.0           pyhd8ed1ab_3             conda-forge
  backports.functools_lru_cache      1.6.5         pyhd8ed1ab_0             conda-forge
  beautifulsoup4                     4.12.2        pyha770c72_0             conda-forge
  binutils_impl_linux-64             2.40          hf600244_0               conda-forge
  bioconductor-basilisk              1.12.1        r43hdfd78af_0            bioconda   
  bioconductor-basilisk.utils        1.12.1        r43hdfd78af_0            bioconda   
  bioconductor-bayesspace            1.10.1        r43hf17093f_0            bioconda   
